"host_id","parasite_id"
1,1
1,2
1,3
1,4
1,7
1,9
1,10
1,11
1,12
2,2
2,3
2,7
2,9
2,10
2,11
2,12
2,14
3,2
3,3
3,7
3,9
3,10
3,11
3,12
5,2
5,3
5,7
5,9
5,10
5,11
5,12
5,14
6,2
6,3
6,7
6,8
6,9
6,10
6,11
6,12
7,2
7,3
7,7
7,8
7,9
7,10
7,11
7,12
8,2
8,3
8,7
8,9
8,10
8,11
8,12
9,2
9,3
9,7
9,9
9,10
9,11
9,12
10,2
10,3
10,7
10,9
10,10
10,11
10,12
11,2
11,3
11,7
11,9
11,10
11,11
11,12
12,2
12,3
12,7
12,9
12,10
12,11
12,12
12,15
13,2
13,3
13,7
13,9
13,10
13,11
13,12
13,15
14,1
14,2
14,3
14,7
14,9
14,10
14,12
14,14
15,1
15,2
15,3
15,5
15,7
15,9
15,10
15,12
15,14
16,1
16,2
16,3
16,7
16,9
16,10
16,12
16,14
17,2
17,3
17,7
17,9
17,10
17,11
17,12
17,15
18,1
18,2
18,3
18,7
18,9
18,10
18,11
18,12
19,2
19,3
19,7
19,9
19,10
19,11
19,12
20,2
20,3
20,7
20,9
20,10
20,11
20,12
21,2
21,3
21,7
21,9
21,10
21,11
21,12
22,2
22,3
22,7
22,9
22,10
22,11
22,12
23,2
23,3
23,7
23,9
23,10
23,11
23,12
24,10
24,11
24,12
25,2
25,3
25,7
25,9
25,10
25,11
25,12
26,2
26,3
26,7
26,9
26,10
26,11
26,12
26,13
27,2
27,3
27,7
27,9
27,10
27,11
27,12
27,13
28,2
28,3
28,7
28,9
28,10
28,11
28,12
28,13
29,2
29,3
29,7
29,9
29,10
29,11
29,12
30,2
30,3
30,7
30,9
30,10
30,11
30,12
